大学,学部名,学科名,日程,入試方式,10桁コード,rank
愛知学院大学,文,英語英米文化,,中期,3523-01-0105,4
愛知学院大学,文,英語英米文化,共,Ⅰ期３,3523-01-0171,4
愛知学院大学,文,英語英米文化,共,プラス,3523-01-0173,4
愛知学院大学,文,英語英米文化,共,Ⅰ期４,3523-01-0174,4
愛知学院大学,文,宗教文化,共,前期Ｍ,3523-01-0202,4
愛知学院大学,文,宗教文化,共,前期Ａ,3523-01-0203,4
愛知学院大学,文,宗教文化,共,中期,3523-01-0205,4
愛知学院大学,文,宗教文化,共,Ⅰ期３,3523-01-0271,4
愛知学院大学,文,宗教文化,共,プラス,3523-01-0273,4
愛知学院大学,文,宗教文化,共,Ⅰ期４,3523-01-0274,4
愛知学院大学,文,日本文化,共,前期Ｍ,3523-01-0402,4
愛知学院大学,文,日本文化,共,前期Ａ,3523-01-0403,4
愛知学院大学,文,日本文化,共,中期,3523-01-0405,4
愛知学院大学,文,日本文化,共,Ⅰ期３,3523-01-0471,4
愛知学院大学,文,日本文化,共,プラス,3523-01-0473,4
愛知学院大学,文,日本文化,共,Ⅰ期４,3523-01-0474,4
愛知学院大学,文,歴史,共,前期Ｍ,3523-01-0502,4
愛知学院大学,文,歴史,共,前期Ａ,3523-01-0503,4
愛知学院大学,文,歴史,共,中期,3523-01-0505,4
愛知学院大学,文,歴史,共,Ⅰ期３,3523-01-0571,4
愛知学院大学,文,歴史,共,プラス,3523-01-0573,4
愛知学院大学,文,歴史,共,Ⅰ期４,3523-01-0574,4
愛知学院大学,文,グローバル英,共,前期Ｍ,3523-01-0601,4
愛知学院大学,文,グローバル英,共,前期Ａ,3523-01-0602,4
愛知学院大学,文,グローバル英,共,中期,3523-01-0604,4
愛知学院大学,文,グローバル英,共,Ⅰ期３,3523-01-0671,4
愛知学院大学,文,グローバル英,共,プラス,3523-01-0673,4
愛知学院大学,文,グローバル英,共,Ⅰ期４,3523-01-0674,4
愛知学院大学,心理,心理,共,前期Ｍ,3523-04-0102,4
愛知学院大学,心理,心理,共,中期,3523-04-0103,4
愛知学院大学,心理,心理,共,前ＡⅠ,3523-04-0104,4
愛知学院大学,心理,心理,共,前ＡⅡ,3523-04-0105,4
愛知学院大学,心理,心理,共,Ⅰ期３,3523-04-0171,4
愛知学院大学,心理,心理,共,Ⅰ期４,3523-04-0172,4
愛知学院大学,心理,心理,共,プラス,3523-04-0173,4
愛知学院大学,法,法律,共,前期Ｍ,3523-12-0102,4
愛知学院大学,法,法律,共,前期Ａ,3523-12-0103,4
愛知学院大学,法,法律,共,中期,3523-12-0105,4
愛知学院大学,法,法律,共,Ⅰ期３,3523-12-0171,4
愛知学院大学,法,法律,共,プラス,3523-12-0173,4
愛知学院大学,法,法律,共,Ⅰ期４,3523-12-0174,4
愛知学院大学,法,現代社会法,共,前期Ｍ,3523-12-0202,4
愛知学院大学,法,現代社会法,共,前期Ａ,3523-12-0203,4
愛知学院大学,法,現代社会法,共,中期,3523-12-0205,4
愛知学院大学,法,現代社会法,共,Ⅰ期３,3523-12-0271,4
愛知学院大学,法,現代社会法,共,プラス,3523-12-0273,4
愛知学院大学,法,現代社会法,共,Ⅰ期４,3523-12-0274,4
愛知学院大学,総合政策,総合政策,共,前期Ｍ,3523-13-0101,4
愛知学院大学,総合政策,総合政策,共,前期Ａ,3523-13-0102,4
愛知学院大学,総合政策,総合政策,共,中期,3523-13-0105,4
愛知学院大学,総合政策,総合政策,共,Ⅰ期３,3523-13-0171,4
愛知学院大学,総合政策,総合政策,共,プラス,3523-13-0173,4
愛知学院大学,総合政策,総合政策,共,Ⅰ期４,3523-13-0174,4
愛知学院大学,経済,経済,共,前期Ａ,3523-18-0101,4
愛知学院大学,経済,経済,共,前期Ｍ,3523-18-0102,4
愛知学院大学,経済,経済,共,中期,3523-18-0104,4
愛知学院大学,経済,経済,共,Ⅰ期３,3523-18-0171,4
愛知学院大学,経済,経済,共,プラス,3523-18-0173,4
愛知学院大学,経済,経済,共,Ⅰ期４,3523-18-0174,4
愛知学院大学,経営,経営,共,前期Ｍ,3523-19-0102,4
愛知学院大学,経営,経営,共,前期Ａ,3523-19-0103,4
愛知学院大学,経営,経営,共,中期,3523-19-0105,4
愛知学院大学,経営,経営,共,Ⅰ期３,3523-19-0171,4
愛知学院大学,経営,経営,共,プラス,3523-19-0173,4
愛知学院大学,経営,経営,共,Ⅰ期４,3523-19-0174,4
愛知学院大学,商,商,共,前期Ｍ,3523-20-0102,4
愛知学院大学,商,商,共,前期Ａ,3523-20-0103,4
愛知学院大学,商,商,共,中期,3523-20-0105,4
愛知学院大学,商,商,共,Ⅰ期３,3523-20-0171,4
愛知学院大学,商,商,共,プラス,3523-20-0173,4
愛知学院大学,商,商,共,Ⅰ期４,3523-20-0174,4
愛知学院大学,歯,歯,共,前期Ａ,3523-58-0103,4
愛知学院大学,歯,歯,共,中期,3523-58-0104,4
愛知学院大学,歯,歯,共,Ⅰ期３,3523-58-0171,4
愛知学院大学,歯,歯,共,プラス,3523-58-0173,4
愛知学院大学,歯,歯,共,Ⅰ期４,3523-58-0174,4
愛知学院大学,薬,医療薬,共,前期Ａ,3523-61-0103,4
愛知学院大学,薬,医療薬,共,中期,3523-61-0104,4
愛知学院大学,薬,医療薬,共,Ⅰ期３,3523-61-0171,4
愛知学院大学,薬,医療薬,共,プラス,3523-61-0173,4
愛知学院大学,薬,医療薬,共,Ⅰ期４,3523-61-0174,4
愛知学院大学,健康科学,健康科学,共,前ＡⅠ,3523-64-0101,4
愛知学院大学,健康科学,健康科学,共,前ＡⅡ,3523-64-0102,4
愛知学院大学,健康科学,健康科学,共,前期Ｍ,3523-64-0103,4
愛知学院大学,健康科学,健康科学,共,中期,3523-64-0104,4
愛知学院大学,健康科学,健康科学,共,プラス,3523-64-0171,4
愛知学院大学,健康科学,健康科学,共,Ⅰ期３,3523-64-0172,4
愛知学院大学,健康科学,健康科学,共,Ⅰ期４,3523-64-0173,4
愛知学院大学,健康科学,健康栄養,共,前期Ａ,3523-64-0201,4
愛知学院大学,健康科学,健康栄養,共,中期,3523-64-0202,4
愛知学院大学,健康科学,健康栄養,共,プラス,3523-64-0271,4
愛知学院大学,健康科学,健康栄養,共,Ⅰ期３,3523-64-0272,4
愛知学院大学,健康科学,健康栄養,共,Ⅰ期４,3523-64-0273,4
愛知学泉大学,家政,ライフスタイ,,前期Ａ,3524-79-0501,5
愛知学泉大学,家政,ライフスタイ,,前期Ｂ,3524-79-0502,5
愛知学泉大学,家政,管理栄養,,前期Ａ,3524-79-0601,5
愛知学泉大学,家政,管理栄養,,前期Ｂ,3524-79-0602,5
愛知学泉大学,家政,こどもの生活,,前期Ａ,3524-79-0701,5
愛知学泉大学,家政,こどもの生活,,前期Ｂ,3524-79-0702,5
愛知教育大学,教育,学校／ 義音楽,前,,1265-30-0210,5
愛知教育大学,教育,学校／ 義音楽,後,,1265-30-0220,5
愛知教育大学,教育,学校／ 義図画,前,,1265-30-0310,5
愛知教育大学,教育,学校／ 義図画,後,,1265-30-0320,5
愛知教育大学,教育,学校／ 義保健,前,,1265-30-0410,5
愛知教育大学,教育,学校／ 義保健,後,,1265-30-0420,5
愛知教育大学,教育,学校／ 義もの,前,,1265-30-0510,5
愛知教育大学,教育,学校／ 義家庭,前,,1265-30-0610,5
愛知教育大学,教育,学校／ 義家庭,後,,1265-30-0620,5
愛知教育大学,教育,学校／ 義英語,前,,1265-30-0710,5
愛知教育大学,教育,学校／ 高国語,前,,1265-30-0810,5
愛知教育大学,教育,学校／ 高国語,後,,1265-30-0820,5
愛知教育大学,教育,学校／ 高地歴,前,,1265-30-0910,5
愛知教育大学,教育,学校／ 高地歴,後,,1265-30-0920,5
愛知教育大学,教育,学校／ 高数学,前,,1265-30-1010,5
愛知教育大学,教育,学校／ 高数学,後,,1265-30-1020,5
愛知教育大学,教育,学校／ 高理科,前,,1265-30-1110,5
愛知教育大学,教育,学校／ 高理科,後,,1265-30-1120,5
愛知教育大学,教育,学校／ 高英語,前,,1265-30-1210,5
愛知教育大学,教育,学校／ 高英語,後,,1265-30-1220,5
愛知教育大学,教育,教育／ 心理,前,,1265-30-6710,5
愛知教育大学,教育,教育／ 心理,後,,1265-30-6720,5
愛知教育大学,教育,教育／ 福祉,前,,1265-30-6810,5
愛知教育大学,教育,教育／ 福祉,後,,1265-30-6820,5
愛知教育大学,教育,教育／ 教育ガ,前,,1265-30-6910,5
愛知教育大学,教育,教育／ 教育ガ,後,,1265-30-6920,5
愛知教育大学,教育,学校／ 幼児教,前,,1265-30-7010,5
愛知教育大学,教育,学校／ 幼児教,後,,1265-30-7020,5
愛知教育大学,教育,学校／ 特別支,前,,1265-30-9010,5
愛知教育大学,教育,学校／ 特別支,後,,1265-30-9020,5
愛知教育大学,教育,学校／ 養護教,前,,1265-30-9110,5
愛知教育大学,教育,学校／ 養護教,後,,1265-30-9120,5
愛知教育大学,教育,学校／ 義学校,前,,1265-30-9210,5
愛知教育大学,教育,学校／ 義学校,後,,1265-30-9220,5
愛知教育大学,教育,学校／ 義生活,前,,1265-30-9310,5
愛知教育大学,教育,学校／ 義ＩＣ,前,,1265-30-9410,5
愛知教育大学,教育,学校／ 義日本,前,,1265-30-9510,5
愛知教育大学,教育,学校／ 義日本,後,,1265-30-9520,5
愛知教育大学,教育,学校／ 義国語,前,,1265-30-9610,5
愛知教育大学,教育,学校／ 義国語,後,,1265-30-9620,5
愛知教育大学,教育,学校／ 義社会,前,,1265-30-9710,5
愛知教育大学,教育,学校／ 義社会,後,,1265-30-9720,5
愛知教育大学,教育,学校／ 義算数,前,,1265-30-9810,5
愛知教育大学,教育,学校／ 義算数,後,,1265-30-9820,5
愛知教育大学,教育,学校／ 義理科,前,,1265-30-9910,5
愛知教育大学,教育,学校／ 義理科,後,,1265-30-9920,5
愛知県立大学,日本文化,国語国文,前,,2135-03-0110,5
愛知県立大学,日本文化,国語国文,後,,2135-03-0120,5
愛知県立大学,日本文化,歴史文化,前,,2135-03-0210,5
愛知県立大学,日本文化,歴史文化,後,,2135-03-0220,5
愛知県立大学,外国語,英米,前,,2135-08-0110,5
愛知県立大学,外国語,英米,後,,2135-08-0120,5
愛知県立大学,外国語,中国,前,,2135-08-0510,5
愛知県立大学,外国語,中国,後,,2135-08-0520,5
愛知県立大学,外国語,国際関係,前,,2135-08-0810,5
愛知県立大学,外国語,国際関係,後,,2135-08-0820,5
愛知県立大学,外国語,ヨー／ フラン,前,,2135-08-0910,5
愛知県立大学,外国語,ヨー／ フラン,後,,2135-08-0920,5
愛知県立大学,外国語,ヨー／ ドイツ,前,,2135-08-1110,5
愛知県立大学,外国語,ヨー／ ドイツ,後,,2135-08-1120,5
愛知県立大学,外国語,ヨー／ スペイ,前,,2135-08-1210,5
愛知県立大学,外国語,ヨー／ スペイ,後,,2135-08-1220,5
愛知県立大学,外国語,ヨー／ ポルト,前,,2135-08-1310,5
愛知県立大学,外国語,ヨー／ ポルト,後,,2135-08-1320,5
愛知県立大学,教育福祉,社会福祉,前,,2135-31-0210,5
愛知県立大学,教育福祉,社会福祉,後,,2135-31-0220,5
愛知県立大学,教育福祉,教育／ 小学校,前,,2135-31-0310,5
愛知県立大学,教育福祉,教育／ 小学校,後,,2135-31-0320,5
愛知県立大学,教育福祉,教育／ 保育幼,前,,2135-31-0410,5
愛知県立大学,教育福祉,教育／ 保育幼,後,,2135-31-0420,5
愛知県立大学,情報科学,情報科学,前,,2135-37-0310,5
愛知県立大学,情報科学,情報科学,後,,2135-37-0320,5
愛知県立大学,看護,看護,前,,2135-64-0110,5
愛知県立大学,看護,看護,後,,2135-64-0120,5
愛知県立芸術大学,美術,デザ／ デザイ,後,,2145-83-0120,5
愛知県立芸術大学,美術,デザ／ 陶磁,後,,2145-83-0220,5
愛知県立芸術大学,美術,美術／ 油画,後,,2145-83-0320,5
愛知県立芸術大学,美術,美術／ 彫刻,後,,2145-83-0420,5
愛知県立芸術大学,美術,美術／ 日本画,後,,2145-83-0520,5
愛知県立芸術大学,美術,美術／ 芸術学,後,,2145-83-0620,5
愛知県立芸術大学,美術,デザ／ メディ,後,,2145-83-0720,5
愛知県立芸術大学,音楽,音楽／ 管打楽,後,,2145-84-0120,5
愛知県立芸術大学,音楽,音楽／ 弦楽器,後,,2145-84-0220,5
愛知県立芸術大学,音楽,音楽／ ピアノ,後,,2145-84-0320,5
愛知県立芸術大学,音楽,音楽／ 音楽学,後,,2145-84-0420,5
愛知県立芸術大学,音楽,音楽／ 作曲,後,,2145-84-0520,5
愛知県立芸術大学,音楽,音楽／ 声楽,後,,2145-84-0620,5
愛知工科大学,工,機械シス工,,前期,3554-46-0201,5
愛知工科大学,工,機械シス工,,中期,3554-46-0202,5
愛知工科大学,工,機械シス工,共,前期,3554-46-0271,5
愛知工科大学,工,電子ロボット,共,前期,3554-46-0301,5
愛知工科大学,工,電子ロボット,共,中期,3554-46-0302,5
愛知工科大学,工,電子ロボット,共,前期,3554-46-0371,5
愛知工科大学,工,情報メディア,共,前期,3554-46-0401,5
愛知工科大学,工,情報メディア,共,中期,3554-46-0402,5
愛知工科大学,工,情報メディア,共,前期,3554-46-0471,5
愛知工業大学,経営,経営／ 経営情,,前期Ａ,3525-19-0101,5
愛知工業大学,経営,経営／ 経営情,,前期Ｍ,3525-19-0102,5
愛知工業大学,経営,経営／ 経営情,共,１期,3525-19-0171,5
愛知工業大学,経営,経営／ 経営情,共,プラＡ,3525-19-0174,5
愛知工業大学,経営,経営／ 経営情,共,プラＭ,3525-19-0175,5
愛知工業大学,経営,経営／ スポー,共,前期Ａ,3525-19-0301,5
愛知工業大学,経営,経営／ スポー,共,前期Ｍ,3525-19-0302,5
愛知工業大学,経営,経営／ スポー,共,１期,3525-19-0371,5
愛知工業大学,経営,経営／ スポー,共,プラＡ,3525-19-0374,5
愛知工業大学,経営,経営／ スポー,共,プラＭ,3525-19-0375,5
愛知工業大学,情報科学,情報／ コンピ,共,前期Ａ,3525-37-0101,5
愛知工業大学,情報科学,情報／ コンピ,共,前期Ｍ,3525-37-0102,5
愛知工業大学,情報科学,情報／ コンピ,共,１期,3525-37-0171,5
愛知工業大学,情報科学,情報／ コンピ,共,プラＡ,3525-37-0174,5
愛知工業大学,情報科学,情報／ コンピ,共,プラＭ,3525-37-0175,5
愛知工業大学,情報科学,情報／ メディ,共,前期Ａ,3525-37-0205,5
愛知工業大学,情報科学,情報／ メディ,共,前期Ｍ,3525-37-0206,5
愛知工業大学,情報科学,情報／ メディ,共,プラＡ,3525-37-0271,5
愛知工業大学,情報科学,情報／ メディ,共,プラＭ,3525-37-0272,5
愛知工業大学,情報科学,情報／ メディ,共,１期,3525-37-0277,5
愛知工業大学,工,電気／ 電気工,共,前期Ａ,3525-46-1101,5
愛知工業大学,工,電気／ 電気工,共,前期Ｍ,3525-46-1102,5
愛知工業大学,工,電気／ 電気工,共,１期,3525-46-1171,5
愛知工業大学,工,電気／ 電気工,共,プラＡ,3525-46-1174,5
愛知工業大学,工,電気／ 電気工,共,プラＭ,3525-46-1175,5
愛知工業大学,工,応用／ 応用化,共,前期Ａ,3525-46-1302,5
愛知工業大学,工,応用／ 応用化,共,前期Ｍ,3525-46-1303,5
愛知工業大学,工,応用／ 応用化,共,プラＡ,3525-46-1371,5
愛知工業大学,工,応用／ 応用化,共,プラＭ,3525-46-1372,5
愛知工業大学,工,応用／ 応用化,共,１期,3525-46-1373,5
愛知工業大学,工,機械／ 機械工,共,前期Ａ,3525-46-1401,5
愛知工業大学,工,機械／ 機械工,共,前期Ｍ,3525-46-1402,5
愛知工業大学,工,機械／ 機械工,共,１期,3525-46-1471,5
愛知工業大学,工,機械／ 機械工,共,プラＡ,3525-46-1474,5
愛知工業大学,工,機械／ 機械工,共,プラＭ,3525-46-1475,5
愛知工業大学,工,社会／ 土木工,共,前期Ａ,3525-46-1601,5
愛知工業大学,工,社会／ 土木工,共,前期Ｍ,3525-46-1602,5
愛知工業大学,工,社会／ 土木工,共,プラＡ,3525-46-1671,5
愛知工業大学,工,社会／ 土木工,共,プラＭ,3525-46-1672,5
愛知工業大学,工,社会／ 土木工,共,１期,3525-46-1673,5
愛知工業大学,工,応用／ バイオ,共,前期Ａ,3525-46-2101,5
愛知工業大学,工,応用／ バイオ,共,前期Ｍ,3525-46-2102,5
愛知工業大学,工,応用／ バイオ,共,１期,3525-46-2171,5
愛知工業大学,工,応用／ バイオ,共,プラＡ,3525-46-2174,5
愛知工業大学,工,応用／ バイオ,共,プラＭ,3525-46-2175,5
愛知工業大学,工,電気／ 電子情,共,前期Ａ,3525-46-2201,5
愛知工業大学,工,電気／ 電子情,共,前期Ｍ,3525-46-2202,5
愛知工業大学,工,電気／ 電子情,共,１期,3525-46-2271,5
愛知工業大学,工,電気／ 電子情,共,プラＡ,3525-46-2274,5
愛知工業大学,工,電気／ 電子情,共,プラＭ,3525-46-2275,5
愛知工業大学,工,機械／ 機械創,共,前期Ａ,3525-46-2301,5
愛知工業大学,工,機械／ 機械創,共,前期Ｍ,3525-46-2302,5
愛知工業大学,工,機械／ 機械創,共,１期,3525-46-2371,5
愛知工業大学,工,機械／ 機械創,共,プラＡ,3525-46-2374,5
愛知工業大学,工,機械／ 機械創,共,プラＭ,3525-46-2375,5
愛知工業大学,工,建築／ 建築学,共,前期Ａ,3525-46-2501,5
愛知工業大学,工,建築／ 建築学,共,前期Ｍ,3525-46-2502,5
愛知工業大学,工,建築／ 建築学,共,１期,3525-46-2571,5
愛知工業大学,工,建築／ 建築学,共,プラＡ,3525-46-2574,5
愛知工業大学,工,建築／ 建築学,共,プラＭ,3525-46-2575,5
愛知工業大学,工,建築／ 住居デ,共,前期Ａ,3525-46-2605,5
愛知工業大学,工,建築／ 住居デ,共,前期Ｍ,3525-46-2606,5
愛知工業大学,工,建築／ 住居デ,共,プラＡ,3525-46-2671,5
愛知工業大学,工,建築／ 住居デ,共,プラＭ,3525-46-2672,5
愛知工業大学,工,建築／ 住居デ,共,１期,3525-46-2677,5
愛知工業大学,工,社会／ 都市デ,共,前期Ａ,3525-46-2701,5
愛知工業大学,工,社会／ 都市デ,共,前期Ｍ,3525-46-2702,5
愛知工業大学,工,社会／ 都市デ,共,１期,3525-46-2771,5
愛知工業大学,工,社会／ 都市デ,共,プラＡ,3525-46-2774,5
愛知工業大学,工,社会／ 都市デ,共,プラＭ,3525-46-2775,5
愛知産業大学,経営,総合経営,,前期,3526-19-0302,5
愛知産業大学,経営,総合経営,共,前期,3526-19-0371,5
愛知産業大学,経営,総合経営,共,プラス,3526-19-0373,5
愛知産業大学,造形,建築,共,前期,3526-83-0104,5
愛知産業大学,造形,建築,共,前期,3526-83-0171,5
愛知産業大学,造形,建築,共,プラス,3526-83-0175,5
愛知産業大学,造形,スマートデザ,共,前期,3526-83-0301,5
愛知産業大学,造形,スマートデザ,共,前期,3526-83-0371,5
愛知産業大学,造形,スマートデザ,共,プラス,3526-83-0372,5
愛知淑徳大学,文,国文,,前期２,3527-01-0901,5
愛知淑徳大学,文,国文,,前期３,3527-01-0902,5
愛知淑徳大学,文,国文,共,プラス,3527-01-0972,5
愛知淑徳大学,文,国文,共,前期４,3527-01-0974,5
愛知淑徳大学,文,国文,共,前期３,3527-01-0976,5
愛知淑徳大学,心理,心理,共,前期３,3527-04-0101,5
愛知淑徳大学,心理,心理,共,前期２,3527-04-0102,5
愛知淑徳大学,心理,心理,共,プラス,3527-04-0172,5
